Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;;;Renta bruta media por hogar;2022;35.649
Total Nacional;Andalucía;;;Renta bruta media por hogar;2021;33.699
Total Nacional;Andalucía;;;Renta bruta media por hogar;2020;31.841
Total Nacional;Andalucía;;;Renta bruta media por hogar;2019;31.800
Total Nacional;Andalucía;;;Renta bruta media por hogar;2018;30.322
Total Nacional;Andalucía;;;Renta bruta media por hogar;2017;28.924
Total Nacional;Andalucía;;;Renta bruta media por hogar;2016;27.915
Total Nacional;Andalucía;;;Renta bruta media por hogar;2015;27.154
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2023;11.543
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2022;10.605
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2021;10.103
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2020;9.709
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2019;9.436
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2018;9.072
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2017;8.569
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2016;8.207
Total Nacional;Andalucía;Almería;;Renta neta media por persona;2015;8.029
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2023;30.936
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2022;28.442
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2021;27.184
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2020;26.276
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2019;25.698
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2018;24.714
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2017;23.399
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2016;22.666
Total Nacional;Andalucía;Almería;;Renta neta media por hogar;2015;22.039
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2023;17.369
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2022;16.171
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2021;15.412
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2020;14.850
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2019;14.480
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2018;13.926
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2017;13.184
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2016;12.637
Total Nacional;Andalucía;Almería;;Media de la renta por unidad de consumo;2015;12.323
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2023;15.050
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2022;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2021;13.650
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2019;12.250
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2017;11.550
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2016;10.850
Total Nacional;Andalucía;Almería;;Mediana de la renta por unidad de consumo;2015;10.150
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2023;13.683
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2022;12.532
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2021;11.877
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2020;11.354
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2019;11.043
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2018;10.573
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2017;9.992
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2016;9.518
Total Nacional;Andalucía;Almería;;Renta bruta media por persona;2015;9.304
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2023;36.672
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2022;33.611
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2021;31.958
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2020;30.726
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2019;30.072
Total Nacional;Andalucía;Almería;;Renta bruta media por hogar;2018;28.805
