Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2022;18.524
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2021;16.698
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2020;15.226
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2019;16.492
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2018;15.907
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2017;15.092
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2016;13.965
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por persona;2015;13.568
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2023;56.349
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2022;51.019
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2021;45.755
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2020;42.110
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2019;45.904
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2018;44.083
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2017;41.696
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2016;39.444
Total Nacional;Balears, Illes;Balears, Illes;;Renta bruta media por hogar;2015;37.416
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2023;17.125
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2022;15.386
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2021;13.834
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2020;12.416
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2019;13.784
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2018;12.985
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2017;12.543
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2016;11.516
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2015;11.128
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2023;49.646
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2022;43.872
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2021;39.306
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2020;35.528
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2019;39.579
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2018;36.938
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2017;35.609
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2016;33.500
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por hogar;2015;31.597
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2023;26.549
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2022;24.597
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2021;22.151
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2020;19.763
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2019;21.756
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2018;20.842
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2017;19.787
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2016;18.301
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Media de la renta por unidad de consumo;2015;17.608
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2023;22.750
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2022;21.350
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2021;19.250
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2019;18.550
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2018;17.850
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2017;17.150
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2016;15.750
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Mediana de la renta por unidad de consumo;2015;15.050
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2023;21.801
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2022;19.531
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2021;17.312
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2020;15.225
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2019;16.984
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2018;16.294
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2017;15.444
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2016;14.028
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por persona;2015;13.494
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2023;63.202
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2022;55.689
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2021;49.187
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2020;43.566
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2019;48.766
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2018;46.351
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2017;43.845
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2016;40.805
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta bruta media por hogar;2015;38.315
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2023;15.902
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2022;14.588
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2021;13.363
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2020;12.480
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2019;13.382
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2018;12.899
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2017;12.270
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2016;11.487
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2015;11.237
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2023;44.206
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2022;40.208
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2021;36.615
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2020;34.522
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2019;37.272
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2018;35.796
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2017;33.927
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2016;32.500
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por hogar;2015;30.992
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2023;24.189
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2022;22.622
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2021;20.699
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2020;19.298
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2019;20.722
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2018;20.064
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2017;19.046
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2016;17.898
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Media de la renta por unidad de consumo;2015;17.393
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2023;20.650
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2022;19.250
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2021;17.850
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2018;17.150
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2017;16.450
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2016;15.050
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Mediana de la renta por unidad de consumo;2015;15.050
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2023;19.954
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2022;18.304
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2021;16.542
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2020;15.203
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2019;16.434
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2018;15.883
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2017;15.065
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2016;13.963
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por persona;2015;13.600
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2023;55.471
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2022;50.451
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2021;45.328
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2020;42.055
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2019;45.772
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2018;44.075
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2017;41.654
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2016;39.506
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta bruta media por hogar;2015;37.509
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2023;16.472
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2022;15.077
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2021;13.847
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2020;12.664
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2019;13.262
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2018;12.672
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2017;12.138
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2016;11.449
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2015;11.127
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2023;42.893
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2022;38.992
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2021;35.780
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2020;33.078
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2019;34.886
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2018;33.230
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2017;31.847
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2016;30.308
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por hogar;2015;29.217
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2023;24.688
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2022;23.022
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2021;21.137
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2020;19.351
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2019;20.219
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2018;19.408
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2017;18.544
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2016;17.639
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Media de la renta por unidad de consumo;2015;17.009
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2023;21.350
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2022;19.950
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2021;18.550
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2020;16.450
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2019;17.850
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2018;16.450
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2017;15.750
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2016;15.050
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Mediana de la renta por unidad de consumo;2015;14.350
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2023;20.659
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2022;18.889
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2021;17.133
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2020;15.453
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2019;16.215
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2018;15.489
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2017;14.767
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2016;13.878
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por persona;2015;13.391
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2023;53.796
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2022;48.849
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2021;44.271
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2020;40.364
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2019;42.656
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2018;40.616
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2017;38.747
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2016;36.737
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta bruta media por hogar;2015;35.162
Total Nacional;Canarias;;;Renta neta media por persona;2023;13.595
Total Nacional;Canarias;;;Renta neta media por persona;2022;12.486
Total Nacional;Canarias;;;Renta neta media por persona;2021;11.458
Total Nacional;Canarias;;;Renta neta media por persona;2020;10.936
Total Nacional;Canarias;;;Renta neta media por persona;2019;11.065
Total Nacional;Canarias;;;Renta neta media por persona;2018;10.561
Total Nacional;Canarias;;;Renta neta media por persona;2017;10.047
Total Nacional;Canarias;;;Renta neta media por persona;2016;9.531
Total Nacional;Canarias;;;Renta neta media por persona;2015;9.322
Total Nacional;Canarias;;;Renta neta media por hogar;2023;36.370
Total Nacional;Canarias;;;Renta neta media por hogar;2022;33.274
Total Nacional;Canarias;;;Renta neta media por hogar;2021;30.675
Total Nacional;Canarias;;;Renta neta media por hogar;2020;29.609
Total Nacional;Canarias;;;Renta neta media por hogar;2019;30.312
Total Nacional;Canarias;;;Renta neta media por hogar;2018;28.921
Total Nacional;Canarias;;;Renta neta media por hogar;2017;27.554
Total Nacional;Canarias;;;Renta neta media por hogar;2016;26.457
Total Nacional;Canarias;;;Renta neta media por hogar;2015;25.664
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2023;20.427
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2022;19.077
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2021;17.495
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2020;16.703
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2019;16.968
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2018;16.222
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2017;15.458
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2016;14.712
Total Nacional;Canarias;;;Media de la renta por unidad de consumo;2015;14.356
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2023;17.850
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2022;16.450
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2019;14.350
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2018;13.650
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2017;12.950
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2016;12.250
Total Nacional;Canarias;;;Mediana de la renta por unidad de consumo;2015;12.250
Total Nacional;Canarias;;;Renta bruta media por persona;2023;16.260
Total Nacional;Canarias;;;Renta bruta media por persona;2022;14.849
Total Nacional;Canarias;;;Renta bruta media por persona;2021;13.598
Total Nacional;Canarias;;;Renta bruta media por persona;2020;12.880
Total Nacional;Canarias;;;Renta bruta media por persona;2019;13.076
Total Nacional;Canarias;;;Renta bruta media por persona;2018;12.458
Total Nacional;Canarias;;;Renta bruta media por persona;2017;11.843
Total Nacional;Canarias;;;Renta bruta media por persona;2016;11.209
Total Nacional;Canarias;;;Renta bruta media por persona;2015;10.926
Total Nacional;Canarias;;;Renta bruta media por hogar;2023;43.499
Total Nacional;Canarias;;;Renta bruta media por hogar;2022;39.572
Total Nacional;Canarias;;;Renta bruta media por hogar;2021;36.406
Total Nacional;Canarias;;;Renta bruta media por hogar;2020;34.875
Total Nacional;Canarias;;;Renta bruta media por hogar;2019;35.821
Total Nacional;Canarias;;;Renta bruta media por hogar;2018;34.115
Total Nacional;Canarias;;;Renta bruta media por hogar;2017;32.479
Total Nacional;Canarias;;;Renta bruta media por hogar;2016;31.114
Total Nacional;Canarias;;;Renta bruta media por hogar;2015;30.078
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2023;13.806
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2022;12.716
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2021;11.697
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2020;11.172
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2019;11.336
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2018;10.862
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2017;10.328
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2016;9.799
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2015;9.548
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2023;37.032
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2022;34.010
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2021;31.443
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2020;30.367
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2019;31.168
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2018;29.899
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2017;28.537
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2016;27.379
Total Nacional;Canarias;Palmas, Las;;Renta neta media por hogar;2015;26.520
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2023;20.758
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2022;19.384
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2021;17.823
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2020;17.019
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2019;17.352
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2018;16.659
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2017;15.874
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2016;15.093
Total Nacional;Canarias;Palmas, Las;;Media de la renta por unidad de consumo;2015;14.680
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2023;17.850
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2022;16.450
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2021;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2020;14.350
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2019;15.050
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2018;14.350
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2017;13.650
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2016;12.950
Total Nacional;Canarias;Palmas, Las;;Mediana de la renta por unidad de consumo;2015;12.250
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2023;16.603
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2022;15.200
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2021;13.912
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2020;13.182
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2019;13.428
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2018;12.849
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2017;12.220
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2016;11.551
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por persona;2015;11.217
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2023;44.535
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2022;40.654
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2021;37.399
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2020;35.832
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2019;36.920
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2018;35.369
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2017;33.763
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2016;32.276
Total Nacional;Canarias;Palmas, Las;;Renta bruta media por hogar;2015;31.155
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2023;12.945
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2022;11.629
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2021;10.456
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2020;9.818
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2019;10.419
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2018;10.112
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2017;9.648
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2016;9.068
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2015;8.904
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2023;35.381
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2022;31.432
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2021;28.295
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2020;26.948
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2019;28.952
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2018;27.974
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2017;26.526
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2016;25.150
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por hogar;2015;24.332
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Media de la renta por unidad de consumo;2023;19.587
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Media de la renta por unidad de consumo;2022;18.253
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Media de la renta por unidad de consumo;2021;16.372
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Media de la renta por unidad de consumo;2020;15.340
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Media de la renta por unidad de consumo;2019;16.287
